en,cze,chi,dan,deu,eng,eng_and_spa,fre,itl,jpn,por,se,spa,tha,turk,Kor,Russian,Dutch,Finnish,Norwegian
Please select at least %d row(s) per column,,每列请选择至少%d项,Vælg mindst %d række(r) pr. kolonne,,,,,,,"Por favor, selecione pelo menos %d linha(s) por coluna.",Välj minst %d rad/-er per kolumn,,,,각 세로줄마다 %d줄 이상 선택해 주세요,Выберите как максимум %d строки на столбец,Selecteer minstens %d rij(en) per kolom,Valitse vähintään %d rivi(ä) per sarake,Velg minst %d rad(er) per kolonne
Please select exactly %d row(s) per column,,每列请选择%d项,Vælg præcist %d række(r) pr. kolonne,,,,,,,"Por favor, selecione exatamente %d linha(s) por coluna.",Välj exakt %d rad/-er per kolumn,,,,각 세로줄마다 %d줄 만 선택해 주세요,"Выберите 
ровно %d строки на столбец",Selecteer precies %d rij(en) per kolom,Valitse tasan %d rivi(ä) per sarake,Velg nøyaktig %d rad(er) per kolonne
Please select between %d and %d row(s) per column,,每列请选择%d到%d项,Vælg mellem %d og %d række(r) pr. kolonne,,,,,,,"Por favor, selecione entre %d e %d linha(s) por coluna.",Välj mellan %d och %d rad/-er per kolumn,,,,각 세로줄마다 %d줄 이상 %d줄 이하로 선택해 주세요,Выберите как минимум %d и как максимум %d строки на столбец,Selecteer tussen de %d en %d rij(en) per kolom,Valitse %d–%d rivi(ä) per sarake,Velg mellom %d og %d rad(er) per kolonne
Please select up to %d row(s) per column,,每列请选择少于%d项,Vælg op til %d række(r) pr. kolonne,,,,,,,"Por favor, selecione até %d linha(s) por coluna.",Välj upp till %d rad/-er per kolumn,,,,각 세로줄마다 최대 %d줄까지 선택해 주세요,Выберите как максимум %d строки на столбец,Selecteer maximaal %d rij(en) per kolom,Valitse korkeintaan %d rivi(ä) per sarake,Velg opptil %d rad(er) per kolonne
,,,,,,,,,,,,,,,,,,,
Please provide an answer in at least %d column(s),,请在至少%d列中作答,Kom med et svar i mindst %d kolonne(r),,,,,,,"Por favor, apresente uma resposta em pelo menos %d coluna(s).",Ange ett svar i minst %d kolumn/-er,,,,%d줄 이상 응답을 선택해 주세요,Укажите ответ в как минимум %d столбце.,Geef een antwoord in minstens %d kolom(men),Anna vastaus vähintään %d sarakkeeseen,Gi et svar i minst %d kolonne(r)
Please provide an answer in exactly %d column(s),,请在%d列中作答,Kom med et svar i præcist %d kolonne(r),,,,,,,"Por favor, apresente uma resposta em exatamente %d coluna(s).",Ange ett svar i exakt %d kolumn/-er,,,,%d줄 만 응답을 선택해 주세요,Укажите ответ в ровно %d столбце.,Geef een antwoord in precies %d kolom(men),Anna vastaus tasan %d sarakkeeseen,Gi et svar i nøyaktig %d kolonne(r)
Please provide an answer in between %d and %d column(s),,请在至少%d且不多于%d列中作答,Kom med et svar i mellem %d og %d kolonne(r),,,,,,,"Por favor, apresente uma resposta dentre %d e %d coluna(s).",Ange ett svar i mellan %d och %d kolumner,,,,%d줄 이상 %d줄 이하에 응답을 선택해 주세요,Укажите ответ в как минимум %d и как максимум %d столбце.,Geef een antwoord in tussen de %d en %d kolom(men),Anna vastaus %d–%d sarakkeeseen,Gi et svar i mellom %d og %d kolonne(r)
Please provide an answer in up to %d column(s),,请在不多于%d列中作答,Kom med et svar i op til %d kolonne(r),,,,,,,"Por favor, apresente uma resposta em até %d coluna(s).",Ange ett svar i upp till %d kolumn/-er,,,,최대 %d줄까지 응답을 선택해 주세요,Укажите ответ в как максимум %d столбце.,Geef een antwoord in maximaal %d kolom(men),Anna vastaus korkeintaan %d sarakkeeseen,Gi et svar i opptil %d kolonne(r)
Please select at least %d and no more than %d statements from the left to correspond with the benefit statement at the top of the column.,,针对每种好处（置顶），请从左列选择至少%d个且不多于%d个语句.,"Vælg mindst %d og ikke mere end %d udsagn fra venstre side, der svarer til udsagnet om fordele øverst i kolonnen.",,,,,,,"Por favor, considerando a lista que se encontra à esquerda, selecione pelo menos 1 e não mais do que 5 afirmativas para associar à descrição do benefício que se encontra no topo da coluna","Välj minst %d och inte fler än %d påståenden till vänster för att matcha påståendet om en fördel, överst i kolumnen.",,,,각 세로줄 맨 위에 제시된 혜택과 관련된 문장을 왼쪽에서 %d개 이상 %d개 이하로 선택해 주세요.,Выберите как минимум %d и как максимум %d утверждения по левому краю которые поддерживает или соотносятся с данным преимуществом на верхy.,Selecteer minstens %d en maximaal %d beweringen links om te corresponderen met de voordeelbewering boven in de kolom.,"Valitse vasemmalta vähintään %d ja korkeintaan %d väitettä, jotka vastaavat sarakkeen yläreunan hyötyväitettä.",Velg minst %d og ikke flere enn %d utsagn fra venstre som stemmer overens med nytteutsagnet øverst i kolonnen.
Please select exactly %d statements from the left to correspond with the benefit statement at the top of the column.,,针对每种好处（置顶），请从左列选择%d个语句.,"Vælg præcist %d udsagn fra venstre side, der svarer til udsagnet om fordele øverst i kolonnen.",,,,,,,"Por favor, considerando a lista que se encontra à esquerda, selecione exatamente %d colunas para associar à descrição do benefício que se encontra no topo da coluna","Välj exakt %d påstående/-n till vänster för att matcha påståendet om en fördel, överst i kolumnen.",,,,,,Selecteer precies %d beweringen links om te corresponderen met de voordeelbewering boven in de kolom.,"Valitse vasemmalta tasan %d väitettä, jotka vastaavat sarakkeen yläreunan hyötyväitettä.",Velg nøyaktig %d utsagn fra venstre som stemmer overens med nytteutsagnet øverst i kolonnen.
Please select at least %d statements from the left to correspond with the benefit statement at the top of the column.,,针对每种好处（置顶），请从左列选择至少%d个语句.,"Vælg mindst %d udsagn fra venstre side, der svarer til udsagnet om fordele øverst i kolonnen.",,,,,,,"Por favor, considerando a lista que se encontra à esquerda, selecione pelo menos %d colunas para associar à descrição do benefício que se encontra no topo da coluna","Välj minst %d påståenden till vänster för att matcha påståendet om en fördel, överst i kolumnen.",,,,,,Selecteer minstens %d beweringen links om te corresponderen met de voordeelbewering boven in de kolom.,"Valitse vasemmalta vähintään %d väitettä, jotka vastaavat sarakkeen yläreunan hyötyväitettä.",Velg minst %d utsagn fra venstre som stemmer overens med nytteutsagnet øverst i kolonnen.
Please select no more than %d statements from the left to correspond with the benefit statement at the top of the column.,,针对每种好处（置顶），请从左列选择少于%d个语句.,"Vælg ikke mere end %d udsagn fra venstre side, der svarer til udsagnet om fordele øverst i kolonnen.",,,,,,,"Por favor, considerando a lista que se encontra à esquerda, selecione não mais do %d colunas para associar à descrição do benefício que se encontra no topo da coluna","Välj högst %d påståenden till vänster för att matcha påståendet om en fördel, överst i kolumnen.",,,,,,Selecteer maximaal %d beweringen links om te corresponderen met de voordeelbewering boven in de kolom.,"Valitse vasemmalta korkeintaan %d väitettä, jotka vastaavat sarakkeen yläreunan hyötyväitettä.",Ikke velg flere enn %d utsagn fra venstre som stemmer overens med nytteutsagnet øverst i kolonnen.
"If only one option appears, please select it and click next to move to the next questions.",,如果只有一个选项，请点击以继续,"Hvis kun én valgmulighed vises, skal du vælge den og klikke på Næste for at gå videre til de næste spørgsmål.",,,,,,,"Se apenas uma opção aparecer, por favor, selecione-a e clique em ""próxima"" para seguir para as próximas questões.","Om det bara finns ett alternativ, välj det och klicka på nästa för att gå vidare till nästa fråga.",,,,"만약 보기가 한 개만 주어진다면, 그것을 클릭하시고 다음 버튼을 눌러 설문을 진행해 주세요.","Если только 1 выбор, выберите его и нажмите «Далее» чтобы перейти к следующим вопросам.","Als er maar één optie verschijnt, selecteer deze dan en klik op volgende om naar de volgende vragen te gaan.","Jos näkyvissä on vain yksi vaihtoehto, valitse se ja napsauta Seuraava siirtyäksesi seuraaviin kysymyksiin.","Hvis kun ett alternativ vises, velger du dette og klikker på «Neste» for å gå til neste spørsmål."
Please enter a number.,,请输入数字,Indtast et tal.,Bitte geben Sie eine Zahl an,,,,,,"Por favor, coloque um numero",Ange en siffra.,,,,번호를 입력하십시오,"Пожалуйста, введите число",,Anna numero.,Angi et tall.
Scroll down for more images. ,,,Rul ned for flere billeder.,"
Scrollen Sie nach unten für weitere Bilder.",,,,,,,Rulla ner för att se fler bilder.,,,,,,,"Vieritä alas, niin näet lisää kuvia.",Bla ned for flere bilder.
"Oops!
You are ineligible to take this survey. Our system’s records indicate that you have already taken, or have attempted to take this survey before.",,抱歉！您无法继续此调查问卷。我们的记录表明您已经完成或曾经参与过此调查。,"Ups! Du er ikke kvalificeret til at tage denne undersøgelse. Vores systems fortegnelser viser, at du allerede har taget, eller har forsøgt at tage, denne undersøgelse tidligere.",,"Oops!
You are ineligible to take this survey. Our system’s records indicate that you have already taken, or have attempted to take this survey before.","You are ineligible to take this survey. Our system’s records indicate that you have already taken, or have attempted to take this survey before. No eres elegible para tomar esta encuesta. Los registros de nuestro sistema indican que ya ha realizado o ha intentado realizar esta encuesta anteriormente.",Vous n’êtes pas admissible à participer à cette enquête. Les enregistrements de notre système indiquent que vous avez déjà participé ou avez déjà tenté de participer à cette enquête.,,,,Hoppsan! Tyvärr har du inte behörighet att göra undersökningen. Vårt system visar att du redan har gjort eller försökt att göra undersökningen.,Lo sentimos! No eres elegible para tomar esta encuesta. Los registros de nuestro sistema indican que ya ha realizado o ha intentado realizar esta encuesta anteriormente.,,,,"Вы не имеете права участвовать в этом опросе. Записи в нашей системе показывают, что вы уже участвовали или пытались принять участие в этом опросе.",,"Ups!
 
 Sinä et täytä tämän kyselyn ehtoja. Järjestelmämme tiedoista ilmenee, että olet jo aiemmin vastannut tai yrittänyt vastata tähän kyselyyn.","Uff da!
 
 Du er ikke kvalifisert for denne undersøkelsen. Systemet vårt indikerer at du allerede har tatt, eller har forsøkt å ta, denne undersøkelsen."
This survey may not function properly with Internet Explorer. Please switch to an updated browser such as Chrome before you continue.,,若您正在使用IE浏览器，此问卷页面可能无法正常显示。为了更好的问卷答题体验，请使用谷歌Chrome浏览器继续填写问卷。,"Denne undersøgelse vil muligvis ikke fungere, som den skal, med Internet Explorer. Skift til en opdateret browser som f.eks. Chrome, inden du fortsætter.",,,,,,,,"Undersökningen kanske inte fungerar ordentligt om du använder Internet Explorer. Byt till en uppdaterad webbläsare, exempelvis Chrome, innan du fortsätter.",,,,,,,"Tämä kysely ei välttämättä toimi kunnolla Internet Explorerissa. Vaihda päivitettyyn selaimeen, esimerkiksi Chromeen, ennen kuin jatkat.","Det kan være at denne undersøkelsen ikke fungerer skikkelig med Internet Explorer. Bytt til en oppdatert nettleser, for eksempel Chrome, før du går videre."
Your browser is outdated or you are using native App to open this survey. Please update your browser or open this survey link in a web browser before you continue this survey.,,您正在使用旧版浏览器或本地应用。建议您更新浏览器或在浏览器应用中打开后再继续问卷填写。,"Din browser er forældet, eller du bruger en indbygget app til at åbne denne undersøgelse. Opdater din browser, eller åbn dette link til undersøgelsen i en webbrowser, inden du fortsætter denne undersøgelse.",,,,,,,,"Din webbläsare är för gammal eller så använder du en nativ app för att öppna undersökningen. Uppdatera din webbläsare eller öppna länken till undersökningen med en webbläsare, innan du fortsätter med undersökningen.",,,,,,,"Selaimesi on vanhentunut, tai käytät natiivisovellusta tämän kyselyn avaamiseen. Päivitä selaimesi tai avaa tämän kyselyn linkki verkkoselaimessa, ennen kuin jatkat kyselyä.",Nettleseren din er foreldet eller du bruker et maskinavhengig program for å åpne denne undersøkelsen. Oppdater nettleseren din eller åpne denne undersøkelseslenken i en nettleser før du fortsetter undersøkelsen.
test,,测试,,,,,,,,,,,,,,,,,
